                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.979,                 2.7208,                 1.4159,                0.00917,                0.91667,                0.30801,                0.10184,                 1.6984,                 3.2111,                 1.2252,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.6734,                 1.3526,                 1.2615,                0.00877,                0.97222,                0.35614,                0.16114,                 1.8866,                 2.9324,                 1.4151,              0.0012921,              0.0012921,              0.0012921
                      3,                 1.6207,                  1.251,                 1.2609,                 0.6847,                0.66362,                0.66799,                0.26918,                 1.9314,                 1.7402,                 1.3569,              0.0019062,              0.0019062,              0.0019062
                      4,                 1.6292,                 1.2208,                 1.2766,                0.67537,                0.61111,                0.54161,                0.20894,                 1.8664,                 1.8818,                 1.4243,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5669,                 1.1341,                 1.2502,                0.67056,                0.62215,                0.72517,                0.43413,                  1.588,                 1.5635,                 1.1916,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4949,                 1.0724,                 1.2151,                0.92493,                0.88889,                 0.9337,                0.52397,                 1.5596,                0.92992,                 1.1541,               0.001802,               0.001802,               0.001802
                      7,                 1.5049,                 1.0554,                 1.2255,                0.86167,                0.86521,                0.92347,                0.43983,                 1.5735,                 1.2498,                 1.2081,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4581,                 1.0139,                 1.2123,                0.76283,                 0.7149,                0.64716,                0.33928,                 1.6965,                 1.1517,                 1.2864,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4248,                0.98297,                 1.1967,                0.82388,                0.83333,                0.89559,                0.50415,                 1.4663,                0.96003,                 1.1509,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4024,                0.94268,                 1.1784,                0.89631,                0.72038,                0.83589,                0.43538,                 1.6692,                 1.0169,                 1.2152,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3904,                0.94214,                 1.1901,                 0.8005,                0.89172,                0.90925,                0.53266,                 1.4664,                0.85197,                 1.1343,               0.001604,               0.001604,               0.001604
                     12,                  1.373,                0.90534,                 1.1739,                0.94241,                0.90924,                0.96031,                0.58632,                 1.3359,                0.75866,                  1.058,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3504,                0.90436,                 1.1543,                0.86058,                0.91667,                0.93146,                0.51678,                 1.4621,                0.85106,                 1.1334,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3402,                0.89613,                 1.1563,                0.97212,                0.96859,                0.98089,                 0.5674,                 1.4148,                0.73361,                  1.147,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3385,                0.88534,                 1.1633,                0.66439,                0.88889,                0.79642,                0.45727,                 1.5245,                0.91075,                 1.2208,              0.0014456,              0.0014456,              0.0014456
